Date,Average
2019-07-01,83.0
2019-07-02,85.5
2019-07-03,84.0
2019-07-04,86.0
2019-07-05,84.0
2019-07-06,83.0
2019-07-07,82.0
2019-07-08,83.5
2019-07-09,84.0
2019-07-10,84.0
2019-07-11,83.5
2019-07-12,83.5
2019-07-13,81.5
2019-07-14,83.5
2019-07-15,84.5
2019-07-16,85.5
2019-07-17,84.5
2019-07-18,82.5
2019-07-19,82.0
2019-07-20,81.0
2019-07-21,80.5
2019-07-22,82.0
2019-07-23,78.0
2019-07-24,77.0
2019-07-25,77.0
2019-07-26,78.5
2019-07-27,79.5
2019-07-28,80.0
2019-07-29,82.5
2019-07-30,82.0
2019-07-31,81.5
2019-08-01,82.5
2019-08-02,78.5
2019-08-03,80.5
2019-08-04,80.0
2019-08-05,82.0
2019-08-06,82.0
2019-08-07,85.0
2019-08-08,84.0
2019-08-09,85.0
2019-08-10,87.0
2019-08-11,86.5
2019-08-12,86.5
2019-08-13,89.0
2019-08-14,85.0
2019-08-15,85.0
2019-08-16,84.0
2019-08-17,85.0
2019-08-18,84.5
2019-08-19,83.0
2019-08-20,83.0
2019-08-21,82.5
2019-08-22,84.0
2019-08-23,85.0
2019-08-24,82.0
2019-08-25,72.5
2019-08-26,76.0
2019-08-27,80.0
2019-08-28,80.5
2019-08-29,77.5
2019-08-30,78.0
2019-08-31,80.0
