"Climatological Data for Atlanta Area, GA (ThreadEx) - July 2019",,,,,,,,,
Date,Temperature,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2019-07-01,93,73,83.0,3.3,0,18,T,0.0,0
2019-07-02,95,76,85.5,5.7,0,21,0.00,0.0,0
2019-07-03,92,76,84.0,4.1,0,19,0.00,0.0,0
2019-07-04,95,77,86.0,6.0,0,21,0.00,0.0,0
2019-07-05,94,74,84.0,4.0,0,19,0.41,0.0,0
2019-07-06,93,73,83.0,2.9,0,18,T,0.0,0
2019-07-07,89,75,82.0,1.9,0,17,T,0.0,0
2019-07-08,93,74,83.5,3.3,0,19,0.09,0.0,0
2019-07-09,92,76,84.0,3.8,0,19,0.00,0.0,0
2019-07-10,92,76,84.0,3.8,0,19,0.00,0.0,0
2019-07-11,91,76,83.5,3.2,0,19,T,0.0,0
2019-07-12,92,75,83.5,3.2,0,19,0.00,0.0,0
2019-07-13,89,74,81.5,1.2,0,17,T,0.0,0
2019-07-14,93,74,83.5,3.2,0,19,T,0.0,0
2019-07-15,94,75,84.5,4.2,0,20,0.00,0.0,0
2019-07-16,94,77,85.5,5.2,0,21,0.00,0.0,0
2019-07-17,94,75,84.5,4.2,0,20,0.24,0.0,0
2019-07-18,91,74,82.5,2.2,0,18,0.07,0.0,0
2019-07-19,90,74,82.0,1.7,0,17,0.97,0.0,0
2019-07-20,90,72,81.0,0.7,0,16,0.00,0.0,0
2019-07-21,89,72,80.5,0.2,0,16,0.00,0.0,0
2019-07-22,91,73,82.0,1.7,0,17,0.00,0.0,0
2019-07-23,84,72,78.0,-2.3,0,13,0.16,0.0,0
2019-07-24,86,68,77.0,-3.3,0,12,0.00,0.0,0
2019-07-25,87,67,77.0,-3.3,0,12,0.00,0.0,0
2019-07-26,89,68,78.5,-1.8,0,14,0.00,0.0,0
2019-07-27,89,70,79.5,-0.7,0,15,0.00,0.0,0
2019-07-28,90,70,80.0,-0.2,0,15,0.00,0.0,0
2019-07-29,91,74,82.5,2.3,0,18,0.00,0.0,0
2019-07-30,92,72,82.0,1.8,0,17,0.12,0.0,0
2019-07-31,91,72,81.5,1.3,0,17,T,0.0,0
Sum,2825,2274,-,-,0,542,2.06,0.0,-
Average,91.1,73.4,82.2,2.0,-,-,-,-,0.0
Normal,89.1,71.3,80.2,-,0,471,5.27,0.0,-
,,,,,,,,,
"Climatological Data for Atlanta Area, GA (ThreadEx) - August 2019",,,,,,,,,
Date,Temperature,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,
2019-08-01,94,71,82.5,2.4,0,18,0.29,0.0,0
2019-08-02,87,70,78.5,-1.6,0,14,T,0.0,0
2019-08-03,90,71,80.5,0.4,0,16,0.06,0.0,0
2019-08-04,88,72,80.0,-0.1,0,15,0.09,0.0,0
2019-08-05,91,73,82.0,2.0,0,17,0.01,0.0,0
2019-08-06,93,71,82.0,2.0,0,17,0.00,0.0,0
2019-08-07,95,75,85.0,5.0,0,20,0.00,0.0,0
2019-08-08,94,74,84.0,4.0,0,19,0.00,0.0,0
2019-08-09,95,75,85.0,5.1,0,20,0.00,0.0,0
2019-08-10,96,78,87.0,7.1,0,22,T,0.0,0
2019-08-11,96,77,86.5,6.6,0,22,0.00,0.0,0
2019-08-12,96,77,86.5,6.7,0,22,T,0.0,0
2019-08-13,100,78,89.0,9.2,0,24,0.05,0.0,0
2019-08-14,95,75,85.0,5.3,0,20,0.08,0.0,0
2019-08-15,95,75,85.0,5.3,0,20,0.00,0.0,0
2019-08-16,96,72,84.0,4.4,0,19,0.00,0.0,0
2019-08-17,98,72,85.0,5.4,0,20,0.00,0.0,0
2019-08-18,95,74,84.5,5.0,0,20,0.16,0.0,0
2019-08-19,93,73,83.0,3.6,0,18,0.08,0.0,0
2019-08-20,94,72,83.0,3.7,0,18,0.00,0.0,0
2019-08-21,94,71,82.5,3.3,0,18,0.00,0.0,0
2019-08-22,94,74,84.0,4.9,0,19,0.00,0.0,0
2019-08-23,94,76,85.0,6.0,0,20,T,0.0,0
2019-08-24,93,71,82.0,3.1,0,17,0.13,0.0,0
2019-08-25,78,67,72.5,-6.3,0,8,0.00,0.0,0
2019-08-26,83,69,76.0,-2.7,0,11,0.92,0.0,0
2019-08-27,88,72,80.0,1.5,0,15,0.02,0.0,0
2019-08-28,90,71,80.5,2.1,0,16,0.00,0.0,0
2019-08-29,89,66,77.5,-0.7,0,13,0.00,0.0,0
2019-08-30,89,67,78.0,0.0,0,13,0.00,0.0,0
2019-08-31,91,69,80.0,2.1,0,15,0.00,0.0,0
Sum,2864,2248,-,-,0,546,1.89,0.0,-
Average,92.4,72.5,82.5,3.1,-,-,-,-,0.0
Normal,88.1,70.7,79.4,-,0,447,3.90,0.0,-
